bank_line_id,value_date,credit_amount_paise,narration
BANK00001,2026-01-04,942336,RTGS CR-UTR82490325186955-RAZORPAY PAYOUTS
BANK00002,2026-01-05,814648,UPI/CR/UTR58225506275618/RAZORPAY SOFTWARE PVT LTD
BANK00003,2026-01-06,1857484,NEFT/UTR23000843290354/RAZORPAY SOFTWARE PVT LTD
BANK00004,2026-01-07,3926245,NEFT/UTR81144369049708/RAZORPAY SOFTWARE PVT LTD
BANK00005,2026-01-08,464402,NEFT/UTR60632465341913/RAZORPAY SOFTWARE PVT LTD
BANK00006,2026-01-09,2972030,IMPS-P2A/UTR60999698761999/RAZORPAY SETTLEMENT
BANK00007,2026-01-10,1906605,RTGS CR-UTR44166442730605-RAZORPAY PAYOUTS
BANK00008,2026-01-11,424006,IMPS-P2A/UTR90139729617857/RAZORPAY SETTLEMENT
BANK00009,2026-01-12,3145475,UPI/CR/UTR50268113609128/RAZORPAY SOFTWARE PVT LTD
BANK00010,2026-01-13,2759500,RTGS CR-UTR88938977199941-RAZORPAY PAYOUTS
BANK00011,2026-01-14,1966658,UPI/CR/UTR43078373608526/RAZORPAY SOFTWARE PVT LTD
BANK00012,2026-01-15,550491,UPI/CR/UTR48120484370320/RAZORPAY SOFTWARE PVT LTD
BANK00013,2026-01-31,2213712,NEFT/UTR64745724639238/RAZORPAY SOFTWARE PVT LTD
BANK00014,2026-02-01,3774636,UPI/CR/UTR85716615834705/RAZORPAY SOFTWARE PVT LTD
BANK00015,2026-02-02,1604257,IMPS-P2A/UTR49352650460396/RAZORPAY SETTLEMENT
BANK00016,2026-02-03,1973889,NEFT/UTR50676202472780/RAZORPAY SOFTWARE PVT LTD
BANK00017,2026-02-04,3162488,UPI/CR/UTR25418965658737/RAZORPAY SOFTWARE PVT LTD
BANK00018,2026-02-05,4580548,RTGS CR-UTR25388180776845-RAZORPAY PAYOUTS
BANK00019,2026-02-06,2570068,RTGS CR-UTR88666249524985-RAZORPAY PAYOUTS
BANK00020,2026-02-07,2764388,UPI/CR/UTR38528536564688/RAZORPAY SOFTWARE PVT LTD
BANK00021,2026-02-20,1347261,RTGS CR-UTR82490325186955-RAZORPAY PAYOUTS
BANK00022,2026-02-21,239079,NEFT/UTR58225506275618/RAZORPAY SOFTWARE PVT LTD
BANK00023,2026-02-22,427593,RTGS CR-UTR23000843290354-RAZORPAY PAYOUTS
BANK00024,2026-02-23,1306837,IMPS-P2A/UTR81144369049708/RAZORPAY SETTLEMENT
BANK00025,2026-02-24,617946,NEFT/UTR60632465341913/RAZORPAY SOFTWARE PVT LTD
BANK00026,2026-02-25,1552717,IMPS-P2A/UTR60999698761999/RAZORPAY SETTLEMENT
BANK00027,2026-02-26,275556,UPI/CR/UTR44166442730605/RAZORPAY SOFTWARE PVT LTD
BANK00028,2026-02-27,764621,UPI/CR/UTR90139729617857/RAZORPAY SOFTWARE PVT LTD
BANK00029,2026-03-09,2006096,IMPS-P2A/UTR40346696921261/RAZORPAY SETTLEMENT
BANK00030,2026-03-10,2564437,UPI/CR/UTR72469354450457/RAZORPAY SOFTWARE PVT LTD
BANK00031,2026-03-11,1060480,IMPS-P2A/UTR99467973865528/RAZORPAY SETTLEMENT
BANK00032,2026-03-12,226779,UPI/CR/UTR32650028586240/RAZORPAY SOFTWARE PVT LTD
BANK00033,2026-03-13,3374437,RTGS CR-UTR13767202029993-RAZORPAY PAYOUTS
BANK00034,2026-03-14,2466804,RTGS CR-UTR02690771468521-RAZORPAY PAYOUTS
BANK00035,2026-03-15,509118,NEFT/UTR48715651155896/RAZORPAY SOFTWARE PVT LTD
BANK00036,2026-03-16,705459,UPI/CR/UTR61865567887052/RAZORPAY SOFTWARE PVT LTD
BANK00037,2026-03-27,1291146,RTGS CR-UTR17602442483702-RAZORPAY PAYOUTS
BANK00038,2026-03-29,1209536,RTGS CR-UTR87706052580035-RAZORPAY PAYOUTS
BANK00039,2026-03-28,2240363,IMPS-P2A/UTR53238843748339/RAZORPAY SETTLEMENT
BANK00040,2026-03-30,1690675,RTGS CR-UTR73322468915462-RAZORPAY PAYOUTS
BANK00041,2026-03-29,1653377,UPI/CR/UTR69209149496179/RAZORPAY SOFTWARE PVT LTD
BANK00042,2026-03-31,2780698,NEFT/UTR15816403310686/RAZORPAY SOFTWARE PVT LTD
BANK00043,2026-03-30,2599697,RTGS CR-UTR64513349795258-RAZORPAY PAYOUTS
BANK00044,2026-04-01,804265,RTGS CR-UTR57733514695207-RAZORPAY PAYOUTS
BANK00045,2026-03-31,1138008,RTGS CR-UTR34792836443455-RAZORPAY PAYOUTS
BANK00046,2026-04-02,1335188,NEFT/UTR48770605339499/RAZORPAY SOFTWARE PVT LTD
BANK00047,2026-04-01,3667756,NEFT/UTR18902654970209/RAZORPAY SOFTWARE PVT LTD
BANK00048,2026-04-03,3403332,RTGS CR-UTR23355269772970-RAZORPAY PAYOUTS
BANK00049,2026-04-02,712030,IMPS-P2A/UTR28613879812685/RAZORPAY SETTLEMENT
BANK00050,2026-04-04,590099,NEFT/UTR59605897642950/RAZORPAY SOFTWARE PVT LTD
BANK00051,2026-04-03,1550843,IMPS-P2A/UTR61164901379620/RAZORPAY SETTLEMENT
BANK00052,2026-04-05,1263443,NEFT/UTR07876114619159/RAZORPAY SOFTWARE PVT LTD
