invoice_id,order_id,expected_amount_paise,status
INV000001,ORD000001,179340,open
INV000002,ORD000002,402912,open
INV000003,ORD000003,383850,open
INV000004,ORD000004,835194,open
INV000005,ORD000005,1904331,open
INV000006,ORD000006,1912707,open
INV000007,ORD000007,920834,open
INV000008,ORD000008,1191727,open
INV000009,ORD000009,274550,open
INV000010,ORD000010,201565,open
INV000011,ORD000011,1470549,open
INV000012,ORD000012,974958,open
INV000013,ORD000013,601479,open
INV000014,ORD000014,1119429,open
INV000015,ORD000015,835261,open
INV000016,ORD000016,434700,open
INV000017,ORD000017,1241267,open
INV000018,ORD000018,1983539,open
INV000019,ORD000019,362723,open
INV000020,ORD000020,1990828,open
INV000021,ORD000021,475546,open
INV000022,ORD000022,1134908,open
INV000023,ORD000023,881350,open
INV000024,ORD000024,564375,open
INV000025,ORD000025,1815092,open
INV000026,ORD000026,466549,open
INV000027,ORD000027,1836058,open
INV000028,ORD000028,89133,open
INV000029,ORD000029,1956741,open
INV000030,ORD000030,1040969,open
INV000031,ORD000031,276836,open
INV000032,ORD000032,339009,open
INV000033,ORD000033,1297969,open
INV000034,ORD000034,45538,open
INV000035,ORD000035,692262,open
INV000036,ORD000036,1322808,open
INV000037,ORD000037,1283918,open
INV000038,ORD000038,647618,open
INV000039,ORD000039,1187210,open
INV000040,ORD000040,697977,open
INV000041,ORD000041,1255627,open
INV000042,ORD000042,1567355,open
INV000043,ORD000043,376247,open
INV000044,ORD000044,278973,open
INV000045,ORD000045,1991763,open
INV000046,ORD000046,805241,open
INV000047,ORD000047,1933039,open
INV000048,ORD000048,107924,open
INV000049,ORD000049,565201,open
INV000050,ORD000050,1491489,open
INV000051,ORD000051,668953,open
INV000052,ORD000052,1960160,open
INV000053,ORD000053,714560,open
INV000054,ORD000054,372666,open
INV000055,ORD000055,232498,open
INV000056,ORD000056,1673797,open
INV000057,ORD000057,1785746,open
INV000058,ORD000058,1187919,open
INV000059,ORD000059,1004825,open
INV000060,ORD000060,336273,open
INV000061,ORD000061,521958,open
INV000062,ORD000062,723251,open
INV000063,ORD000063,1066076,open
INV000064,ORD000064,257635,open
INV000065,ORD000065,173965,open
INV000066,ORD000066,1041421,open
INV000067,ORD000067,1255444,open
INV000068,ORD000068,691893,open
INV000069,ORD000069,1418706,open
INV000070,ORD000070,276369,open
INV000071,ORD000071,1432122,open
INV000072,ORD000072,743047,open
INV000073,ORD000073,1922215,open
INV000074,ORD000074,81502,open
INV000075,ORD000075,939412,open
INV000076,ORD000076,227296,open
INV000077,ORD000077,429449,open
INV000078,ORD000078,1941220,open
INV000079,ORD000079,1819038,open
INV000080,ORD000080,1547945,open
INV000081,ORD000081,64371,open
INV000082,ORD000082,665616,open
INV000083,ORD000083,540610,open
INV000084,ORD000084,1234767,open
INV000085,ORD000085,355189,open
INV000086,ORD000086,60541,open
