txn_id,order_id,rrn,gross_amount_paise,captured_at,payment_method,status,merchant_ref
TXN000001,ORD000001,104948070069,179340,2026-01-02T14:35:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000002,ORD000002,794437229989,402912,2026-01-02T06:44:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000003,ORD000003,930914310544,383850,2026-01-02T21:10:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000004,ORD000004,200956516454,835194,2026-01-03T21:42:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000005,ORD000005,767964131155,1904331,2026-01-04T19:02:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000006,ORD000006,986708749635,1912707,2026-01-05T15:50:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000007,ORD000007,968141279547,920834,2026-01-05T14:47:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000008,ORD000008,957049113827,1191727,2026-01-05T17:04:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000009,ORD000009,618720052847,274550,2026-01-06T12:07:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000010,ORD000010,370233939705,201565,2026-01-06T18:18:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000011,ORD000011,218780746571,1470549,2026-01-07T08:20:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000012,ORD000012,310138346856,974958,2026-01-07T08:07:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000013,ORD000013,840462452507,601479,2026-01-07T22:07:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000014,ORD000014,325222834865,1119429,2026-01-08T08:52:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000015,ORD000015,119727864174,835261,2026-01-08T22:27:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000016,ORD000016,530141311320,434700,2026-01-09T15:35:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000017,ORD000017,249001568941,1241267,2026-01-10T19:19:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000018,ORD000018,342871826302,1983539,2026-01-10T21:30:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000019,ORD000019,447901673914,362723,2026-01-11T11:49:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000020,ORD000020,882499702787,1990828,2026-01-11T16:54:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
