settlement_batch_id,txn_id,payout_utr,gross_amount_paise,fee_paise,gst_on_fee_paise,tds_paise,refund_paise,chargeback_paise,net_paise,settlement_date
STL00001,TXN000001,UTR82490325186955,179340,3587,646,179,0,0,174928,2026-01-04
STL00001,TXN000002,UTR82490325186955,402912,8058,1450,403,0,0,393001,2026-01-04
STL00001,TXN000003,UTR82490325186955,383850,7677,1382,384,0,0,374407,2026-01-04
STL00002,TXN000004,UTR58225506275618,835194,16704,3007,835,0,0,814648,2026-01-05
STL00003,TXN000005,UTR23000843290354,1904331,38087,6856,1904,0,0,1857484,2026-01-06
STL00004,TXN000006,UTR81144369049708,1912707,38254,6886,1913,0,0,1865654,2026-01-07
STL00004,TXN000007,UTR81144369049708,920834,18417,3315,921,0,0,898181,2026-01-07
STL00004,TXN000008,UTR81144369049708,1191727,23835,4290,1192,0,0,1162410,2026-01-07
STL00005,TXN000009,UTR60632465341913,274550,5491,988,275,0,0,267796,2026-01-08
STL00005,TXN000010,UTR60632465341913,201565,4031,726,202,0,0,196606,2026-01-08
STL00006,TXN000011,UTR60999698761999,1470549,29411,5294,1471,0,0,1434373,2026-01-09
STL00006,TXN000012,UTR60999698761999,974958,19499,3510,975,0,0,950974,2026-01-09
STL00006,TXN000013,UTR60999698761999,601479,12030,2165,601,0,0,586683,2026-01-09
STL00007,TXN000014,UTR44166442730605,1119429,22389,4030,1119,0,0,1091891,2026-01-10
STL00007,TXN000015,UTR44166442730605,835261,16705,3007,835,0,0,814714,2026-01-10
STL00008,TXN000016,UTR90139729617857,434700,8694,1565,435,0,0,424006,2026-01-11
STL00009,TXN000017,UTR50268113609128,1241267,24825,4469,1241,0,0,1210732,2026-01-12
STL00009,TXN000018,UTR50268113609128,1983539,39671,7141,1984,0,0,1934743,2026-01-12
STL00010,TXN000019,UTR88938977199941,362723,7254,1306,363,0,0,353800,2026-01-13
STL00010,TXN000020,UTR88938977199941,1990828,39817,7167,1991,0,0,1941853,2026-01-13
STL00010,TXN000021,UTR88938977199941,475546,9511,1712,476,0,0,463847,2026-01-13
STL00011,TXN000022,UTR43078373608526,1134908,22698,4086,1135,0,0,1106989,2026-01-14
STL00011,TXN000023,UTR43078373608526,881350,17627,3173,881,0,0,859669,2026-01-14
STL00012,TXN000024,UTR48120484370320,564375,11288,2032,564,0,0,550491,2026-01-15
STL00013,TXN000025,UTR64745724639238,1815092,36302,6534,1815,0,0,1770441,2026-01-31
STL00013,TXN000026,UTR64745724639238,466549,9331,1680,467,0,0,455071,2026-01-31
STL00014,TXN000027,UTR85716615834705,1836058,36721,6610,1836,0,0,1790891,2026-02-01
STL00014,TXN000028,UTR85716615834705,89133,1783,321,89,0,0,86940,2026-02-01
STL00014,TXN000029,UTR85716615834705,1956741,39135,7044,1957,0,0,1908605,2026-02-01
STL00015,TXN000030,UTR49352650460396,1040969,20819,3747,1041,0,0,1015362,2026-02-02
STL00015,TXN000031,UTR49352650460396,276836,5537,997,277,0,0,270025,2026-02-02
STL00015,TXN000032,UTR49352650460396,339009,6780,1220,339,0,0,330670,2026-02-02
STL00016,TXN000033,UTR50676202472780,1297969,25959,4673,1298,0,0,1266039,2026-02-03
STL00016,TXN000034,UTR50676202472780,45538,911,164,46,0,0,44417,2026-02-03
STL00016,TXN000035,UTR50676202472780,692262,13845,2492,692,0,0,675233,2026-02-03
STL00017,TXN000036,UTR25418965658737,1322808,26456,4762,1323,0,0,1290267,2026-02-04
STL00017,TXN000037,UTR25418965658737,1283918,25678,4622,1284,0,0,1252334,2026-02-04
STL00017,TXN000038,UTR25418965658737,647618,12952,2331,648,0,0,631687,2026-02-04
STL00018,TXN000039,UTR25388180776845,1187210,23744,4274,1187,0,0,1158005,2026-02-05
STL00018,TXN000040,UTR25388180776845,697977,13960,2513,698,0,0,680806,2026-02-05
STL00018,TXN000041,UTR25388180776845,1255627,25113,4520,1256,0,0,1224738,2026-02-05
STL00018,TXN000042,UTR25388180776845,1567355,31347,5642,1567,0,0,1528799,2026-02-05
STL00019,TXN000043,UTR88666249524985,376247,7525,1355,376,0,0,366991,2026-02-06
STL00019,TXN000044,UTR88666249524985,278973,5579,1004,279,0,0,272111,2026-02-06
STL00019,TXN000045,UTR88666249524985,1991763,39835,7170,1992,0,0,1942766,2026-02-06
STL00020,TXN000046,UTR38528536564688,805241,16105,2899,805,0,0,785432,2026-02-07
STL00020,TXN000047,UTR38528536564688,1933039,38661,6959,1933,0,0,1885486,2026-02-07
